,luas,harga
0,88,900000000
1,40,340000000
2,48,577500000
3,48,577500000
4,40,340000000
5,40,340000000
6,48,577500000
7,48,577500000
8,40,340000000
9,48,577500000
10,40,340000000
11,69,665120000
12,48,577500000
13,48,577500000
14,48,575000000
15,48,577500000
16,36,430100000
17,46,553000000
18,40,425000000
19,42,600000000
20,45,510000000
21,46,553000000
22,46,553500000
23,65,505000000
24,45,553500000
25,36,430100000
26,46,553000000
27,45,553000000
28,40,425000000
29,60,650000000
30,45,500000000
31,45,553000000
32,60,499000000
33,83,869000000
34,46,553000000
35,56,210000000
36,36,430100000
37,75,761000000
38,46,553000000
39,40,425000000